Date,3MINDIA_price,ADANIPORTS_price,ADANIPOWER_price,AEGISCHEM_price,ALLCARGO_price,AMARAJABAT_price,ANANTRAJ_price,APOLLOTYRE_price,ASAHIINDIA_price,ASHOKLEY_price,ASHOKA_price,ASIANPAINT_price,AUTOAXLES_price,AXISBANK_price,BAJAJ-AUTO_price,BAJAJCON_price,BAJAJELEC_price,BAJFINANCE_price,BAJAJFINSV_price,BAJAJHLDNG_price,BALKRISIND_price,BALMLAWRIE_price,BALRAMCHIN_price,BANKBARODA_price,BEL_price,BHARATFORG_price,BPCL_price,BHARTIARTL_price,BLUEDART_price,BRIGADE_price,BRITANNIA_price,CANFINHOME_price,CANBK_price,CGCL_price,CCL_price,CEATLTD_price,CENTRALBK_price,CESC_price,CGPOWER_price,CHENNPETRO_price,CHOLAFIN_price,CUB_price,COALINDIA_price,COFORGE_price,CONCOR_price,COSMOFIRST_price,CRISIL_price,DBREALTY_price,DCMSHRIRAM_price,DCBBANK_price,DLF_price,EDELWEISS_price,ELECON_price,EMAMILTD_price,ENGINERSIN_price,ESCORTS_price,EPL_price,EVEREADY_price,EXIDEIND_price,FSL_price,GAIL_price,GEPIL_price,GET&D_price,GHCL_price,GLOBUSSPR_price,GMRINFRA_price,GODFRYPHLP_price,GODREJCP_price,GODREJPROP_price,GOKEX_price,GRAPHITE_price,GRASIM_price,GESHIP_price,GREENPLY_price,GRINDWELL_price,GTLINFRA_price,GPPL_price,GSPL_price,GOCLCORP_price,HAVELLS_price,HBLPOWER_price,HCLTECH_price,HDFCBANK_price,HEROMOTOCO_price,HFCL_price,HGS_price,HCC_price,HINDPETRO_price,HINDUNILVR_price,HONAUT_price,HDIL_price,ICICIBANK_price,IDBI_price,IDEA_price,IFCI_price,IIFL_price,IBREALEST_price,DHANI_price,INDIANB_price,IOC_price,IOB_price,ICIL_price,IGL_price,INDUSINDBK_price,IRB_price,ITC_price,JKIL_price,JISLJALEQS_price,JPASSOCIAT_price,JPPOWER_price,J&KBANK_price,JBMA_price,JINDALPOLY_price,JINDALSTEL_price,JKTYRE_price,JMFINANCIL_price,JSWENERGY_price,JSWHL_price,JSWSTEEL_price,JUBLFOOD_price,JYOTHYLAB_price,KEC_price,KOTAKBANK_price,KPRMILL_price,LAOPALA_price,LT_price,LICHSGFIN_price,LINDEINDIA_price,MAHSCOOTER_price,M&MFIN_price,M&M_price,MAHLIFE_price,MANINFRA_price,MANAPPURAM_price,MRPL_price,MARICO_price,MARUTI_price,MFSL_price,MCLEODRUSS_price,UNOMINDA_price,MMTC_price,MOTILALOFS_price,MRF_price,NH_price,NAVA_price,NCC_price,NESTLEIND_price,NHPC_price,NTPC_price,OLECTRA_price,OMAXE_price,PAISALO_price,PATANJALI_price,PERSISTENT_price,PETRONET_price,PHOENIXLTD_price,POLYPLEX_price,PFC_price,POWERGRID_price,PRAJIND_price,PRESTIGE_price,PGHH_price,PSB_price,PNB_price,RADICO_price,RAJESHEXPO_price,RELCAPITAL_price,RCOM_price,RELINFRA_price,RPOWER_price,RELIGARE_price,RECLTD_price,SADBHAV_price,SANGHVIMOV_price,SHRIRAMFIN_price,SIEMENS_price,SJVN_price,SKFINDIA_price,SMLISUZU_price,SOBHA_price,SOMANYCERA_price,SOUTHBANK_price,SBIN_price,SSWL_price,SUNTECK_price,SUPRAJIT_price,SUZLON_price,TATACOFFEE_price,TATACOMM_price,TATAELXSI_price,TATACONSUM_price,TATAINVEST_price,TATAMOTORS_price,TATAPOWER_price,TTML_price,TECHM_price,TEXRAIL_price,FEDERALBNK_price,KTKBANK_price,KARURVYSYA_price,THERMAX_price
2011-03-09,3249.1,131.05,111.85,28.8,57.37,86.25,78.95,64.45,77.4,26.13,58.81,250.1,407.0,260.19,1417.05,91.22,221.78,62.72,56.84,754.45,67.88,51.34,69.9,181.98,16.72,159.75,91.92,299.67,1005.0,64.23,174.93,19.86,604.22,17.58,20.98,96.65,131.89,25.42,88.72,189.45,34.27,32.79,339.55,183.5,252.96,61.67,578.09,109.1,42.0,45.5,225.45,19.53,66.4,120.57,145.05,119.2,23.15,50.0,136.35,17.1,82.72,520.4,249.45,36.1,124.6,39.73,390.0,121.08,282.89,95.95,87.0,378.41,264.25,33.01,110.33,36.45,60.75,95.2,76.65,69.21,21.1,116.13,220.61,1537.7,10.0,172.68,31.45,71.03,279.7,2108.6,164.7,188.23,138.3,37.36,54.3,35.49,113.3,16.33,229.15,51.3,146.2,2.89,61.15,244.5,18.89,114.5,70.8,181.71,85.35,40.4,96.71,6.09,411.66,665.9,17.23,22.65,74.1,941.8,96.71,54.98,58.76,75.45,215.88,17.12,6.27,697.98,201.65,250.25,330.0,1266.0,1266.0,112.15,18.93,59.43,61.9,65.5,1266.0,144.25,248.9,8.12,638.47,130.05,6132.5,23.45,110.83,61.6,3964.65,23.45,148.12,17.5,128.25,17.3,102.2,192.45,58.03,170.2,213.45,127.2,73.54,68.35,113.85,1653.45,103.3,215.23,132.55,120.55,422.9,99.35,620.15,124.6,488.55,90.62,109.85,119.05,764.31,857.1,20.25,542.75,348.0,267.3,38.3,19.24,262.74,26.29,170.98,19.5,43.71,75.99,214.6,126.13,96.35,499.05,230.19,118.87,14.75,183.49,62.92,38.02,82.67,67.29,607.35
2011-03-10,3295.6,133.8,113.15,28.6,57.31,85.0,77.65,65.9,78.0,26.48,57.78,250.01,400.0,257.01,1401.3,90.3,217.88,64.45,55.42,754.45,66.98,50.86,69.5,181.87,16.96,158.55,90.56,296.96,992.35,64.23,175.4,19.83,592.25,17.44,19.5,97.3,132.18,25.14,92.16,191.7,34.32,32.86,334.3,184.15,257.35,61.7,590.23,108.95,42.7,45.1,229.2,19.24,67.1,120.52,145.85,124.75,23.1,49.4,132.7,16.95,82.85,554.05,250.15,38.11,120.4,39.24,373.5,120.58,282.92,114.5,87.95,380.0,265.5,33.78,112.2,36.45,60.25,95.2,81.75,68.83,20.9,114.24,220.84,1536.3,9.5,169.35,32.43,70.09,276.65,2113.75,163.95,184.46,137.3,37.39,53.8,36.33,114.15,16.33,224.2,50.74,142.6,2.92,60.38,243.35,18.62,114.2,69.93,181.81,84.4,40.0,93.78,6.04,399.4,660.5,17.15,22.95,73.8,931.4,93.78,54.61,59.26,74.7,213.5,16.99,6.16,690.76,200.55,251.1,344.9,1271.4,1271.4,110.34,18.59,59.15,62.6,66.4,1271.4,143.95,251.55,7.8100000000000005,637.97,129.5,6171.45,23.5,111.53,61.39,3938.25,23.5,146.5,17.75,126.92,16.7,101.6,189.98,58.03,171.4,207.45,123.23,73.8,69.35,114.05,1786.7,103.45,214.4,132.45,120.4,443.74,99.85,626.1,125.0,488.3,87.94,111.8,118.8,762.85,857.25,20.3,556.75,348.1,270.95,39.75,19.15,258.98,25.64,169.98,19.55,44.58,77.87,213.9,121.68,96.4,508.1,230.53,115.9,14.99,182.08,60.56,37.45,81.19,66.49,600.1
2011-03-11,3225.0,131.6,111.7,28.55,58.33,85.58,76.25,66.4,76.38,25.75,59.11,252.97,401.35,253.14,1374.15,90.07,222.02,64.08,54.05,753.5,65.43,50.96,70.15,178.4,16.69,157.03,90.98,290.7,994.8,64.4,177.78,19.54,593.18,16.94,19.91,97.45,132.01,24.53,90.39,191.45,33.96,32.76,329.95,181.3,250.06,59.93,591.15,116.65,42.35,44.2,225.2,18.95,66.6,119.78,147.83,128.6,22.55,49.65,136.75,16.65,82.95,541.25,252.0,36.71,116.2,38.41,378.0,119.67,281.96,123.35,86.65,384.9,266.05,34.0,111.38,36.55,59.9,96.2,78.35,69.65,20.95,113.73,218.64,1530.15,9.05,167.7,31.67,71.36,277.35,2094.6,165.95,183.07,134.9,36.63,52.65,35.17,113.2,15.98,216.0,50.89,144.3,3.0,60.96,240.3,18.23,114.23,68.55,180.86,81.95,39.05,90.24,6.0,392.38,649.85,16.94,22.15,73.25,904.15,90.24,54.89,59.96,74.75,210.13,16.97,6.23,685.16,196.15,251.2,339.25,1250.85,1250.85,108.4,19.05,57.5,61.7,65.98,1250.85,144.15,258.55,7.8,626.47,127.95,6096.95,23.2,111.28,59.89,3870.2,23.2,145.54,17.35,125.6,18.75,100.4,187.4,58.6,169.75,201.15,121.43,73.54,68.55,112.65,1804.0,102.0,214.31,133.0,120.2,430.33,96.3,604.65,123.15,488.25,85.71,108.25,116.8,758.84,857.3,20.15,551.45,347.0,268.9,37.85,18.74,256.52,25.0,168.18,19.3,43.71,85.33,211.3,119.53,101.3,504.2,230.05,116.17,14.65,182.6,60.11,36.52,79.31,67.02,606.5
2011-03-14,3231.05,133.25,112.9,28.8,59.04,85.78,77.0,67.8,79.1,26.83,60.79,252.82,399.45,258.07,1383.3,88.77,221.14,64.55,54.89,756.3,67.5,50.71,69.45,181.01,16.75,160.88,95.08,289.98,992.5,63.2,177.88,19.54,604.31,17.02,19.56,104.9,131.84,24.23,90.99,195.8,33.38,32.69,333.8,183.1,251.14,59.57,590.55,115.0,41.4,44.3,228.25,18.97,66.05,119.77,149.93,135.45,22.35,50.8,135.6,16.95,86.75,538.55,244.0,36.61,120.0,38.31,377.67,118.32,280.94,122.6,86.0,389.54,265.4,36.22,109.28,36.6,59.6,99.95,77.55,69.18,20.3,116.15,221.48,1531.1,8.7,175.63,31.54,74.53,278.1,2104.4,166.1,185.29,136.15,36.81,53.7,35.44,114.1,16.03,215.1,51.64,143.25,2.89,60.55,245.1,18.53,115.63,69.58,181.29,84.2,39.6,92.81,5.9,401.04,664.15,17.75,22.25,73.2,933.15,92.81,54.63,59.61,75.6,213.05,17.34,6.34,694.3,197.65,252.9,341.15,1257.0,1257.0,109.99,18.72,58.73,62.65,66.98,1257.0,145.7,255.2,7.72,627.7,127.05,6506.25,23.25,113.5,61.02,3859.8,23.25,148.29,17.3,125.64,18.95,100.4,188.7,58.65,171.1,201.95,120.28,74.1,69.0,111.2,1772.8,101.95,216.2,133.45,121.45,472.18,100.45,625.6,127.3,482.1,85.65,107.7,113.35,741.04,857.95,20.25,560.05,343.9,262.0,39.1,18.56,260.21,24.45,165.63,19.65,42.65,90.68,212.5,121.7,102.1,502.7,232.66,120.69,14.7,184.55,60.84,36.5,77.71,66.83,600.1
2011-03-15,3255.7,130.8,111.65,28.72,58.33,86.6,74.5,69.0,75.65,26.33,60.04,253.12,405.05,256.59,1365.95,86.53,225.24,62.78,51.29,739.5,70.13,50.21,69.9,179.8,16.83,158.03,95.12,283.13,989.15,62.17,179.53,19.11,595.37,16.18,19.31,106.85,135.29,23.74,89.09,200.6,32.93,32.43,338.45,179.2,255.92,59.1,584.91,110.85,40.55,43.05,221.2,18.87,66.1,118.48,148.0,129.45,22.03,52.25,131.65,16.45,85.83,524.85,231.1,36.28,119.3,37.38,377.28,118.57,276.1,113.25,85.55,389.71,259.4,37.46,107.45,36.6,58.05,98.6,75.4,68.66,19.65,113.88,218.47,1524.0,8.3,171.8,30.95,74.26,274.75,2102.0,156.7,181.2,134.9,36.21,52.05,34.13,109.85,15.93,212.5,50.48,142.3,2.84,60.25,244.5,18.19,113.4,67.58,181.43,80.95,38.5,90.91,5.7,392.24,661.6,19.2,21.25,72.25,889.3,90.91,54.69,57.59,73.6,208.23,16.99,6.15,677.34,193.05,253.15,333.25,1214.15,1214.15,105.16,18.39,58.33,62.1,66.75,1214.15,141.75,251.85,7.69,615.1,120.9,6640.85,22.9,110.15,59.31,3783.55,22.9,145.75,17.05,124.69,19.25,98.85,185.95,58.6,171.95,191.45,116.3,73.31,70.55,108.0,1760.1,101.85,215.64,131.65,117.55,476.42,101.0,613.8,122.2,480.65,82.2,106.05,108.85,709.55,864.3,20.15,564.5,347.45,256.55,39.0,18.24,256.25,23.24,160.5,19.45,42.38,93.07,207.75,119.8,98.5,496.7,226.0,116.85,14.41,183.71,57.93,36.13,75.97,67.06,597.15
2011-03-16,3289.8,131.35,113.0,28.93,61.3,90.13,77.6,68.15,76.48,26.8,60.22,255.32,410.25,263.72,1372.35,87.66,224.22,62.83,53.09,741.55,68.0,51.05,69.4,182.31,16.76,164.6,96.09,288.81,999.0,61.3,180.18,19.23,621.38,16.18,19.44,108.25,145.62,23.69,90.42,203.95,33.66,32.22,343.9,181.0,259.97,59.07,586.2,112.4,40.95,44.1,226.45,19.16,66.8,121.07,150.78,134.95,21.95,51.0,137.2,16.75,85.64,530.9,236.05,36.28,123.65,37.72,372.64,120.0,279.75,108.35,84.25,398.66,258.55,38.0,108.65,36.75,59.9,98.5,76.65,70.87,20.0,116.05,218.38,1516.4,8.75,173.95,31.27,75.07,271.35,2101.8,159.6,186.81,136.65,36.3,53.4,34.87,111.65,15.93,213.6,51.78,144.25,2.81,60.21,247.6,18.51,114.13,68.65,175.9,82.1,39.45,90.56,5.78,407.22,664.65,19.34,24.85,72.55,901.35,90.56,56.27,57.68,74.25,211.9,17.11,6.04,685.67,198.05,257.35,333.3,1219.25,1219.25,104.66,18.58,59.65,62.65,68.75,1219.25,144.9,256.45,7.71,620.4,125.2,6723.05,23.25,111.83,58.97,3694.7,23.25,147.96,17.55,127.35,19.25,99.8,184.85,58.6,172.95,191.95,117.6,73.95,72.1,108.5,1763.1,100.7,219.35,132.45,118.55,483.56,103.0,645.65,125.2,493.1,85.93,105.5,105.95,704.07,871.45,20.1,564.35,350.0,262.55,38.85,18.6,264.4,23.52,159.68,19.25,42.47,97.92,210.75,120.4,99.1,501.1,230.82,118.39,14.56,184.78,60.25,36.8,75.53,65.81,580.5
2011-03-18,3230.0,133.95,111.0,28.81,59.77,89.2,77.15,65.05,77.35,26.0,61.56,254.63,388.85,253.84,1358.35,92.01,223.14,61.49,50.47,739.65,66.15,50.13,70.55,179.12,16.73,162.6,93.14,287.19,974.5,60.5,177.7,18.89,591.57,15.8,19.41,102.15,142.5,23.64,90.11,197.0,33.82,31.33,344.4,175.0,253.3,59.17,591.82,112.5,41.4,42.35,219.95,19.53,65.75,120.52,153.45,134.15,21.58,51.3,130.85,16.15,83.98,528.7,229.0,37.13,128.45,36.35,378.22,119.97,282.5,107.55,84.05,398.47,256.75,37.43,106.15,36.65,59.95,98.05,75.4,69.92,20.15,112.58,214.93,1473.5,9.7,170.6,30.91,73.83,269.0,2133.25,155.5,182.28,132.95,36.63,51.85,34.01,107.55,15.68,211.4,50.58,142.25,2.83,58.78,243.25,18.05,111.97,67.3,174.38,82.3,38.55,89.48,5.88,399.54,649.8,18.16,23.55,71.9,875.5,89.48,55.49,49.11,73.1,211.33,16.71,5.91,673.87,193.5,271.05,340.25,1156.2,1156.2,111.25,18.38,58.88,59.3,67.43,1156.2,144.05,264.65,7.78,618.57,120.75,6611.35,22.9,110.58,58.85,3532.25,22.9,145.21,17.2,124.03,20.15,100.0,172.25,59.0,177.55,190.55,115.23,73.46,70.6,105.65,1767.0,99.2,217.81,132.05,117.1,484.11,104.6,627.7,121.35,486.75,83.72,106.7,106.8,720.6,869.15,20.0,552.5,340.5,255.95,38.5,18.6,259.03,23.21,152.23,19.0,41.64,100.16,217.05,118.78,97.6,496.5,221.12,118.55,14.36,176.21,60.61,37.29,73.57,66.14,574.25
2011-03-21,3184.15,131.55,110.5,28.94,59.66,87.8,80.65,63.45,79.84,25.78,62.11,252.37,387.65,255.87,1355.5,92.06,222.46,61.14,49.55,728.35,65.78,50.18,70.5,178.14,16.68,159.85,93.98,285.61,985.6,59.47,176.38,18.74,590.99,15.45,18.62,100.65,137.25,23.15,90.46,199.8,34.34,30.83,347.15,173.45,247.08,59.0,589.96,109.45,41.25,42.15,221.7,19.0,65.45,121.87,150.9,142.5,22.0,50.8,132.55,16.05,84.46,532.0,237.5,37.46,129.15,36.06,377.12,122.3,284.96,102.2,83.5,398.46,252.1,38.31,106.4,36.6,61.15,99.15,74.5,69.57,19.9,112.74,215.45,1434.25,10.2,171.63,31.45,75.68,266.15,2114.3,151.0,182.47,132.75,36.87,51.3,33.42,105.4,15.18,213.55,50.14,143.7,2.86,59.02,244.6,18.45,111.93,66.3,172.52,83.0,38.7,87.43,5.65,399.08,662.3,17.76,23.9,71.8,872.15,87.43,55.67,49.69,71.9,210.38,17.05,5.86,669.47,191.0,263.55,340.0,1128.2,1128.2,109.83,18.36,57.68,58.75,65.28,1128.2,142.5,257.45,7.83,616.67,122.5,6461.85,22.75,115.3,58.27,3594.45,22.75,144.12,17.0,124.36,20.45,98.45,171.65,59.83,172.15,195.65,110.73,73.05,70.1,108.4,1736.85,98.65,217.19,132.0,115.0,481.3,102.9,624.15,118.55,499.0,84.04,106.55,105.1,723.58,869.65,19.45,553.4,325.45,258.0,38.1,18.6,258.26,23.05,147.05,19.4,42.19,99.65,210.15,121.93,98.25,504.05,221.86,118.71,14.31,177.36,58.29,37.02,73.6,65.57,565.55
2011-03-24,3301.2,132.65,112.75,28.81,59.08,90.1,86.05,69.55,80.58,28.13,65.58,250.29,388.1,263.89,1354.45,93.37,234.95,62.05,50.96,733.9,63.88,50.3,71.55,180.66,17.13,171.95,96.21,300.34,984.8,60.93,175.4,19.85,593.18,15.59,18.52,102.5,133.45,24.0,90.51,203.9,35.2,31.58,358.3,183.9,256.5,60.4,602.7,100.55,41.3,42.7,234.2,20.18,64.9,127.03,147.58,138.2,22.35,50.45,134.55,17.15,86.09,546.1,234.55,37.22,143.05,36.45,373.79,118.07,300.19,97.9,85.0,398.42,255.15,38.96,105.85,36.9,60.45,100.4,82.15,73.81,19.4,115.1,219.28,1475.6,12.8,172.23,32.7,74.33,269.1,2212.4,161.9,191.47,137.8,37.45,53.25,34.87,118.7,15.58,217.75,50.84,144.75,2.8,60.03,257.7,18.85,115.33,65.45,178.29,89.4,41.35,89.89,5.69,398.23,660.3,18.19,23.75,72.8,907.25,89.89,54.38,52.2,73.6,223.1,16.75,6.11,688.78,197.8,267.95,338.5,1167.15,1167.15,110.8,18.67,59.48,61.7,64.98,1167.15,143.8,252.3,7.86,622.74,122.65,6553.9,23.1,120.83,57.99,3655.45,23.1,146.58,17.2,128.06,20.8,99.5,173.28,60.88,180.65,204.2,116.8,73.46,71.15,142.35,1787.75,100.1,224.64,131.9,109.55,480.37,104.75,636.35,122.7,485.75,91.52,106.55,104.5,745.93,876.65,19.6,563.25,327.45,275.25,38.05,18.96,265.08,24.27,142.63,18.35,41.82,94.9,239.55,123.05,99.25,512.15,229.0,122.81,14.75,183.93,59.75,38.04,78.05,68.04,584.8
2011-03-25,3306.35,137.95,112.95,28.82,59.13,91.05,85.3,68.65,80.3,28.28,67.37,252.93,388.95,272.99,1381.2,92.82,241.83,62.94,50.88,747.55,65.15,50.91,70.75,185.57,17.0,172.03,98.73,306.16,1001.65,61.83,177.2,19.87,596.63,15.9,18.73,102.6,135.2,24.14,91.53,208.85,35.47,31.93,358.1,186.25,256.56,61.13,607.86,96.75,40.9,44.1,249.1,20.42,66.5,126.23,147.6,137.85,22.43,50.1,135.95,17.4,85.99,559.35,245.6,37.65,139.4,36.69,376.25,118.63,316.37,99.3,85.3,405.68,260.25,39.01,106.55,37.0,63.0,100.6,82.8,72.76,19.35,117.81,226.51,1491.25,12.0,173.15,32.61,75.63,271.3,2211.15,164.95,198.38,139.6,38.78,53.8,35.41,121.5,15.68,221.0,51.84,147.1,2.66,60.14,262.25,19.33,118.3,65.68,179.9,90.4,41.55,90.72,5.72,399.92,666.15,18.11,23.8,72.8,944.9,90.72,54.79,52.89,76.95,226.68,17.1,6.05,710.41,205.05,279.05,336.65,1182.3,1182.3,113.85,18.62,59.5,62.2,65.05,1182.3,146.65,255.1,7.92,618.34,126.65,6603.65,23.4,120.45,58.57,3689.1,23.4,152.42,17.35,130.86,20.8,105.3,180.08,60.83,180.0,205.75,122.45,73.61,72.9,134.75,1783.2,101.25,228.58,132.1,108.5,489.78,106.95,651.6,124.65,488.3,92.19,108.85,107.45,757.27,875.2,20.15,571.95,321.55,274.6,38.35,19.1,271.09,24.29,142.73,18.85,41.78,91.31,236.8,123.73,98.15,513.05,234.26,125.9,14.95,184.16,58.29,38.54,80.19,68.29,591.2
2011-03-28,3319.2,137.95,112.15,28.79,58.5,91.0,84.85,69.4,79.65,28.45,67.92,252.74,388.0,276.85,1402.6,92.86,241.93,64.61,50.75,762.2,63.48,50.55,70.6,189.14,17.07,169.15,98.1,313.46,982.55,60.0,180.05,20.36,601.59,15.5,18.68,104.8,137.95,24.15,90.83,218.95,34.5,31.58,350.95,184.8,257.62,61.33,610.69,83.55,40.4,45.15,246.9,20.47,68.0,128.55,148.95,140.05,22.05,50.25,136.45,18.15,84.52,570.25,240.0,37.41,149.5,37.18,372.18,118.93,313.89,96.8,86.6,404.7,262.05,39.02,109.05,37.05,61.0,101.15,83.75,71.25,19.25,119.21,229.68,1500.75,11.3,176.38,32.25,75.19,276.7,2300.2,163.45,200.15,145.9,39.77,55.2,36.45,122.7,15.68,226.45,52.6,148.3,2.56,60.22,264.7,19.98,119.13,66.2,174.33,88.45,42.15,90.9,5.74,403.05,669.55,18.36,23.4,72.4,941.2,90.9,55.07,54.48,78.15,226.28,17.11,5.91,728.16,221.2,279.8,328.9,1201.7,1201.7,114.33,18.65,59.48,62.2,67.13,1201.7,150.1,253.9,7.53,617.54,124.25,6446.95,23.35,120.88,60.72,3697.35,23.35,154.33,17.25,130.34,20.1,105.8,187.93,60.63,180.45,212.45,124.33,74.33,73.95,130.4,1771.3,105.95,230.35,133.0,109.0,492.81,105.3,662.45,124.0,485.5,92.93,112.15,111.5,775.61,876.05,21.0,581.55,330.0,279.85,38.85,19.51,274.93,23.49,143.05,18.65,40.49,87.65,246.95,122.75,98.5,512.05,242.2,125.7,14.8,181.24,59.11,39.58,81.38,68.81,597.25
2011-03-29,3349.4,136.5,111.95,28.76,61.97,92.63,81.75,68.4,78.59,28.25,65.7,251.59,412.9,284.43,1406.9,92.54,242.81,67.4,50.67,759.3,62.98,50.53,70.05,187.86,17.02,170.03,102.08,324.99,994.2,59.43,177.43,20.27,600.13,15.53,18.56,102.75,138.35,24.25,93.1,220.1,34.89,32.04,346.25,187.7,262.8,61.87,616.33,99.9,39.4,44.45,253.1,20.42,67.2,129.78,149.9,137.85,21.88,49.45,139.85,18.3,85.1,566.0,244.15,36.94,142.25,37.77,377.0,119.87,313.95,96.2,91.85,399.31,262.4,38.8,108.18,36.85,61.45,100.1,82.55,70.94,19.05,120.0,230.52,1544.6,11.65,174.03,32.52,76.82,277.7,2266.25,164.0,199.91,143.05,40.2,53.75,35.76,120.8,15.68,231.5,54.01,146.55,2.69,59.86,266.85,20.05,119.5,65.1,170.95,88.5,41.4,91.47,5.69,398.56,679.7,18.53,23.0,71.25,953.15,91.47,54.87,54.88,79.15,228.1,17.38,5.91,731.96,222.7,274.1,329.0,1237.95,1237.95,114.69,18.71,61.88,63.0,66.08,1237.95,158.45,251.75,7.43,615.74,127.95,6314.7,23.65,121.03,61.24,3682.05,23.65,157.04,17.0,130.1,19.4,103.95,189.0,60.58,180.95,204.85,122.63,74.85,72.4,125.8,1801.7,105.1,234.24,130.4,108.6,489.19,109.7,673.55,124.05,484.1,92.06,114.7,112.85,763.53,876.35,21.2,571.45,329.9,282.7,39.8,19.46,276.79,22.84,149.7,18.65,40.49,92.28,244.75,124.53,96.0,512.7,245.26,128.44,14.85,170.36,61.43,40.02,80.16,68.32,586.8
2011-03-30,3326.0,136.45,111.95,28.68,63.07,97.05,82.1,67.45,81.22,28.2,66.67,253.62,417.0,285.29,1420.95,96.11,244.95,68.84,50.72,770.25,65.35,50.28,70.1,192.29,17.05,170.53,102.26,323.91,1005.65,59.7,183.0,20.69,604.36,15.32,19.28,101.75,142.45,24.5,93.87,221.3,34.76,31.97,341.4,182.6,257.23,62.5,616.64,118.65,40.35,46.45,263.5,21.18,68.7,131.72,151.55,141.75,23.8,49.25,140.7,18.2,86.09,586.05,248.3,37.32,142.55,38.36,379.57,120.45,311.56,96.55,92.35,402.18,265.75,39.1,109.68,37.15,63.65,99.95,83.1,72.8,20.3,119.08,234.15,1557.55,11.65,181.15,33.82,79.66,278.05,2260.9,172.0,201.65,145.7,39.8,53.9,36.33,122.8,16.13,233.15,56.55,146.6,2.8,59.97,276.2,21.21,118.4,65.95,172.1,92.25,41.7,91.79,5.93,399.68,688.75,18.47,25.35,72.45,956.05,91.79,54.26,54.8,81.3,229.55,17.64,6.08,736.3,226.2,269.6,332.85,1269.0,1269.0,119.16,18.94,63.4,64.35,67.95,1269.0,161.0,246.9,7.88,622.3,135.35,6328.65,24.55,126.43,63.04,3668.6,24.55,157.37,17.1,130.1,20.35,103.55,184.95,58.98,184.25,210.1,124.93,75.75,73.1,126.25,1805.6,107.95,243.51,130.5,107.9,487.39,109.8,676.3,124.65,484.45,97.22,119.5,111.65,754.97,876.1,21.9,574.85,334.0,285.7,39.65,19.64,285.61,26.53,142.05,18.9,40.58,95.35,244.7,128.03,97.05,509.45,247.15,127.84,15.87,169.24,62.65,42.05,80.93,68.34,617.15
2011-03-31,3364.7,136.65,112.75,28.85,65.45,94.88,83.75,69.55,82.05,28.43,67.08,252.58,415.2,280.77,1463.25,99.67,228.8,68.0,51.51,795.75,66.68,52.27,70.05,192.97,17.0,173.65,101.98,322.11,999.5,59.73,186.25,19.68,609.13,14.91,19.16,103.05,140.5,24.17,93.08,223.1,34.98,32.04,346.5,184.5,256.01,62.23,631.31,118.4,40.2,45.85,268.55,21.11,67.9,133.53,152.35,141.65,25.58,49.8,143.45,17.95,87.0,589.7,247.8,37.41,143.25,39.73,384.28,121.83,310.3,97.7,93.25,402.05,263.15,39.2,110.8,37.6,64.05,99.0,80.7,74.14,19.45,119.49,234.59,1589.45,12.1,184.5,32.66,79.23,287.1,2246.0,176.8,202.95,142.45,40.74,52.6,36.6,124.25,15.98,232.75,55.48,143.8,2.91,60.0,263.6,21.21,121.4,64.43,170.38,92.8,42.15,91.63,5.92,392.34,697.3,18.78,24.05,71.65,937.9,91.63,53.92,55.0,82.6,228.93,18.36,5.89,734.19,226.1,285.6,326.05,1262.15,1262.15,120.01,18.7,66.4,64.5,69.73,1262.15,159.75,252.6,7.77,621.44,128.95,6271.1,25.3,125.33,61.69,3696.55,25.3,160.92,17.15,130.1,20.35,105.65,183.63,60.9,182.75,205.5,124.98,76.43,71.8,125.5,1805.1,109.4,242.54,130.25,108.75,489.99,107.65,689.95,130.4,485.0,95.14,123.75,114.1,778.5,881.05,22.2,575.95,327.1,293.5,40.7,20.68,276.53,25.61,146.4,18.8,40.95,96.18,239.0,126.95,97.75,508.8,247.02,128.84,16.6,169.04,63.61,41.86,79.56,67.6,602.9
